Date,Action,Ticker,Quantity,Price,Cash
2023-01-20,BUY,CL=F,44,80.33000183105469,46465.479919433594
2023-01-20,BUY,NG=F,14171,3.2750000953674316,55.45356798171997
2023-01-27,SELL,NG=F,14171,2.944000005722046,41774.87764906883
2023-01-27,BUY,CL=F,5,81.01000213623047,41369.82763838768
2023-01-27,BUY,NG=F,14047,2.944000005722046,15.459558010101318
2023-01-31,SELL,NG=F,11,2.677000045776367,44.90655851364136
2023-02-02,SELL,NG=F,14036,2.4679999351501465,34685.7536482811
2023-02-22,SELL,CL=F,9,76.16000366210938,35371.19368124008
2023-02-22,BUY,NG=F,17062,2.072999954223633,1.6684622764587402
2023-02-24,SELL,CL=F,6,75.38999938964844,454.00845861434937
2023-02-24,BUY,NG=F,196,2.313999891281128,0.464479923248291
2023-02-28,SELL,NG=F,65,2.7309999465942383,177.97947645187378
2023-02-28,BUY,CL=F,2,75.68000030517578,26.619475841522217
2023-03-16,SELL,CL=F,36,67.61000061035156,2460.5794978141785
2023-03-22,BUY,NG=F,1047,2.3480000495910645,2.2234458923339844
2023-03-28,SELL,NG=F,18240,2.0880000591278076,38087.344524383545
2023-03-29,BUY,NG=F,18762,2.0299999713897705,0.4850611686706543
